address,category,subcategory,coords.lat,coords.lon,date,location
"Piazza Sant'Agostino, 16, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4593376,9.170488,3/6/2019,lombardia-milano-milano
"Via Carlo Valvassori Peroni, 86, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4795843,9.2366061,3/16/2019,lombardia-milano-milano
Corso Venezia,FURTO,,45.4688933,9.1993481,2/9/2020,lombardia-milano-milano
"Viale Certosa 29 Freestand, 20155 Milano MI",FURTO,Furto Ciclo/Motociclo,45.489496,9.151537,3/19/2018,lombardia-milano-milano
"Viale Monte Grappa, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4804799,9.191274,2/5/2018,lombardia-milano-milano
"Piazzale Lagosta, 7, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4893684,9.1916029,3/13/2018,lombardia-milano-milano
"Via Lario, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4907493,9.1894045,3/29/2019,lombardia-milano-milano
"Via Dino Villani, 2, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4987338,9.1890529,2/23/2019,lombardia-milano-milano
"Via Piero della Francesca, 35, 20154 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4843643,9.1629812,3/12/2018,lombardia-milano-milano
"Via Evangelista Torricelli, 19, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4445074,9.176933,3/22/2019,lombardia-milano-milano
"Via San Faustino, 27, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.47588275,9.240918285,3/13/2018,lombardia-milano-milano
"Via Carlo Imbonati, 24, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5013403,9.1826559,3/6/2019,lombardia-milano-milano
"Via Dino Villani, 7, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4990022,9.1885677,2/9/2019,lombardia-milano-milano
"Via San Calocero, 16, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4580254,9.1736725,3/12/2018,lombardia-milano-milano
"Via Melchiorre Gioia, 74, 20125 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4977996,9.2083169,3/30/2019,lombardia-milano-milano
"Via Conservatorio, 12, 20100 Milano MI",FURTO,Furto Ciclo/Motociclo,45.46473655,9.204120739,1/6/2018,lombardia-milano-milano
Largo Cairoli,FURTO,,45.4679497,9.1826598,1/29/2020,lombardia-milano-milano
"Piazza Ernesto de Angeli, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4665011,9.1486002,1/7/2018,lombardia-milano-milano
Via Gioacchino Murat,RAPINA,Rapina in Esercizio Commerciale,45.5015708,9.1899423,3/6/2019,lombardia-milano-milano
"Via Conservatorio, 7, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4658078,9.202043,3/19/2018,lombardia-milano-milano
Via Teano,RAPINA,Rapina in Esercizio Commerciale,45.52849365,9.160880094,3/4/2020,lombardia-milano-milano
"Viale Luigi Majno, 42, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4705998,9.2056755,1/22/2019,lombardia-milano-milano
"Via Carlo Tenca, 13-15, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4819051,9.203189,3/13/2018,lombardia-milano-milano
"Stazione Lambrate, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5125392,9.2613346,3/29/2019,lombardia-milano-milano
Via Melchiorre Gioia,RAPINA,Rapina in Esercizio Commerciale,45.4802497,9.1899312,2/12/2020,lombardia-milano-milano
"Via Paracelso, 2, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4802615,9.21692,3/22/2019,lombardia-milano-milano
"Foro Buonaparte, 76, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4689324,9.1827097,2/23/2019,lombardia-milano-milano
"Via Giacomo Quarenghi, 23, 20151 Milano MI",FURTO,Furto Ciclo/Motociclo,45.496889,9.1119468,3/29/2019,lombardia-milano-milano
