address,category,subcategory,coords.lat,coords.lon,date,location
Piazza Lima,FURTO,,45.4803111,9.2109347,1/16/2020,lombardia-milano-milano
"Viale Monza, 44, 20127 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4978403,9.2202716,1/18/2019,lombardia-milano-milano
Via Brera,FURTO,Furto Auto,45.4699813,9.1879188,1/16/2020,lombardia-milano-milano
"Via Valparaiso, 10, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4574253,9.1637005,3/4/2018,lombardia-milano-milano
"Viale Regina Margherita, 33, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4574936,9.2044957,3/19/2019,lombardia-milano-milano
"Via Guglielmo Marconi, 5, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4627755,9.1899244,3/31/2019,lombardia-milano-milano
"Via S. Senatore, 16, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4570986,9.1900534,1/14/2019,lombardia-milano-milano
"Via Lambro, 11, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4744503,9.21046,1/19/2020,lombardia-milano-milano
Via GesÃ¹,RAPINA,Rapina in Strada,45.4698208,9.195367527,1/13/2020,lombardia-milano-milano
"Corso Genova, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4582964,9.1770912,2/8/2018,lombardia-milano-milano
"Via Giovanni Durando, 10, 20158 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5063091,9.1667111,3/5/2018,lombardia-milano-milano
"Via Brembo, 5, 20139 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4446698,9.2107879,3/19/2019,lombardia-milano-milano
"Via Giambellino, 56, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4506667,9.1484408,3/9/2018,lombardia-milano-milano
Via Gaetano Strigelli,RAPINA,Rapina in Esercizio Commerciale,45.4560424,9.2183437,2/13/2019,lombardia-milano-milano
"Via Privata Angiolo Maffucci, 20158 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5009629,9.171196,3/9/2019,lombardia-milano-milano
"Piazza Caiazzo, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4851338,9.2100886,2/2/2019,lombardia-milano-milano
"Via Massimo Gorki, 2/12, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4499827,9.1507389,2/13/2019,lombardia-milano-milano
"Via Giovanni Cena, 8, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4604585,9.2203168,2/23/2018,lombardia-milano-milano
Via Selvanesco,FURTO,Furto Auto,45.4156296,9.1860241,2/19/2018,lombardia-milano-milano
"Via Tortona, 74, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4508478,9.1583601,2/14/2019,lombardia-milano-milano
"Piazza Napoli, 7, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4538386,9.1527731,3/9/2018,lombardia-milano-milano
"Piazza Enrico Bottini, 10, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4850991,9.2358215,3/4/2019,lombardia-milano-milano
Via Sant'Arialdo,FURTO,,45.4204346,9.2386731,2/13/2019,lombardia-milano-milano
"Viale Carlo Troya, 18, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4503528,9.154503695,1/9/2019,lombardia-milano-milano
Piazza del Duomo,FURTO,Furto in Esercizio Commerciale,45.46406575,9.190662109,1/7/2020,lombardia-milano-milano
"Piazza S. Babila, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4664084,9.19721154,3/3/2019,lombardia-milano-milano
"Via Valtorta, 39, 20127 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4991832,9.2222347,1/7/2020,lombardia-milano-milano
"Via Angelo de Vincenti, 11, 20148 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4768726,9.1406371,2/24/2018,lombardia-milano-milano
Viale Monza,RAPINA,Rapina in Strada,45.51248185,9.224332706,3/15/2018,lombardia-milano-milano
"Viale Dottor Ingegner Giovanni Ingrao, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.478096,9.228494,3/6/2018,lombardia-milano-milano
"Via Federico Confalonieri, 14, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4864242,9.19124235,3/1/2018,lombardia-milano-milano
Via Monte Napoleone,FURTO,Furto in Esercizio Commerciale,45.4695731,9.1935704,3/3/2019,lombardia-milano-milano
"Edificio 11, Campus Bonardi, Via Andrea Maria AmpÃ¨re, 2, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.479779,9.226644,3/3/2019,lombardia-milano-milano
Piazza Sigmund Freud,RAPINA,Rapina in Strada,45.4838378,9.1879524,3/7/2020,lombardia-milano-milano
"Via Teodosio, 62, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4847312,9.2299282,1/15/2019,lombardia-milano-milano
"Via Giuseppe Colombo, 60, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4749952,9.2267129,3/14/2019,lombardia-milano-milano
"Piazza Oberdan, Viale Vittorio Veneto, 2, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.475347,9.204187,2/19/2018,lombardia-milano-milano
"Piazza dell'Ateneo Nuovo, 1, 20126 Milano MI",FURTO,Furto Ciclo/Motociclo,45.51748,9.2136844,2/2/2020,lombardia-milano-milano
"Via Gian Carlo Castelbarco, 17, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4492593,9.1857649,3/19/2019,lombardia-milano-milano
"Via Ottorino Respighi, 5, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4630959,9.202246273,3/20/2018,lombardia-milano-milano
"Foro Buonaparte, 74, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4692366,9.1829003,1/4/2019,lombardia-milano-milano
"Via Giovanni de Cermenate, 2, 20141 Milano MI",FURTO,Furto Ciclo/Motociclo,45.437429,9.176662,1/9/2018,lombardia-milano-milano
"Via Bergognone, 59, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4566795,9.1619853,1/28/2018,lombardia-milano-milano
"Via della Commenda, 12, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4587723,9.19866,3/21/2018,lombardia-milano-milano
"Viale Luigi Majno, 11, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4690215,9.2054374,1/28/2018,lombardia-milano-milano
"Via Crema, 17, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4489609,9.2029222,3/14/2018,lombardia-milano-milano
"Milano Porta Vittoria, 20137 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4593532,9.2240096,3/10/2018,lombardia-milano-milano
"Via S. Pietro All'Orto, 8, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4676853,9.1946039,3/19/2019,lombardia-milano-milano
"Via Giorgio Washington, 60, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4614032,9.1547486,1/28/2018,lombardia-milano-milano
"Via Fratelli Castiglioni, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4828487,9.1909474,2/19/2019,lombardia-milano-milano
"Viale Umbria, 16, 20137 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4559301,9.2169665,3/1/2018,lombardia-milano-milano
"Via XXIV Maggio, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.45256663,9.179506013,1/28/2018,lombardia-milano-milano
"Via Aurelio Nicolodi, 11, 20161 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5126224,9.1661029,2/17/2018,lombardia-milano-milano
Via Privata Decemviri,FURTO,Furto in Esercizio Commerciale,45.4589322,9.2370318,3/25/2019,lombardia-milano-milano
"Corso Garibaldi, 59, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4746741,9.183294,3/3/2019,lombardia-milano-milano
"Via Gallarate, 20151 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5000927,9.124046,2/2/2019,lombardia-milano-milano
Via Pomposa,FURTO,Furto in Abitazione,45.4358241,9.2188821,2/19/2020,lombardia-milano-milano
"Via Ruggero di Lauria, 20, 20149 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4849323,9.1561743,3/14/2019,lombardia-milano-milano
Piazzale Luigi Cadorna,FURTO,,45.467856,9.1765944,3/14/2019,lombardia-milano-milano
"Via Filippo Corridoni, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4633714,9.2006914,1/15/2019,lombardia-milano-milano
"Via Angelo de Vincenti, 11, 20148 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4768726,9.1406371,3/15/2018,lombardia-milano-milano
"Via Medici, 4, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4608716,9.1810916,3/21/2018,lombardia-milano-milano
"Via Ennio, 19, 20137 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4523776,9.2192731,2/20/2019,lombardia-milano-milano
"Via Giovanni Antonio Amadeo, 55, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4709638,9.241437,1/21/2018,lombardia-milano-milano
Piazza Duca d'Aosta,FURTO,Furto in Esercizio Commerciale,45.48484865,9.203385872,3/7/2020,lombardia-milano-milano
"Piazza della Repubblica 1a, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4786668,9.1969476,2/14/2019,lombardia-milano-milano
"Piazza Leonardo da Vinci, 32, Milano MI",FURTO,Furto Ciclo/Motociclo,45.4774432,9.2296023,3/3/2019,lombardia-milano-milano
"Viale Monza, 31, 20125 Milano MI",FURTO,Furto Ciclo/Motociclo,45.48981425,9.217465496,3/15/2018,lombardia-milano-milano
"Piazzale Siena, 13, 20147 Milano MI",FURTO,Furto Ciclo/Motociclo,45.464786,9.1362895,2/17/2018,lombardia-milano-milano
"Via Luigi Mangiagalli, 3, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4742589,9.2284168,2/17/2018,lombardia-milano-milano
"Largo Augusto, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4628378,9.1972656,3/1/2018,lombardia-milano-milano
"Piazza Armando Diaz, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.462711,9.1897071,1/4/2018,lombardia-milano-milano
Viale Romolo,RAPINA,Rapina in Esercizio Commerciale,45.4442607,9.1674903,2/25/2020,lombardia-milano-milano
"Via Natale Battaglia, 6, 20127 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4882023,9.216105,1/4/2018,lombardia-milano-milano
"Piazzale Lorenzo Lotto, 20148 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4795153,9.1416535,1/3/2018,lombardia-milano-milano
"Via Guglielmo Marconi, 4, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4635619,9.1899831,1/17/2018,lombardia-milano-milano
"Via Anco Marzio, 9, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4598287,9.1702688,3/15/2018,lombardia-milano-milano
"Via E. Porro, Viale Vincenzo Lancetti, 2, 20158 Milano MI",FURTO,Furto Ciclo/Motociclo,45.496893,9.179546,3/2/2018,lombardia-milano-milano
"Via Giovanni Celoria, 2, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4767732,9.227307,1/15/2018,lombardia-milano-milano
Piazza della Scala,FURTO,,45.4671272,9.1896623,1/10/2018,lombardia-milano-milano
"Via Giovanni Enrico Pestalozzi, 4, 20143 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4466649,9.1550653,3/7/2019,lombardia-milano-milano
"Via Giovanni Durando, 10, 20158 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5063091,9.1667111,3/15/2018,lombardia-milano-milano
"Via Don Luigi Palazzolo, 20, 20149 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4901442,9.1454007,2/25/2020,lombardia-milano-milano
Viale Zara,RAPINA,Rapina in Strada,45.49582547,9.194641727,1/26/2020,lombardia-milano-milano
"Via Roberto Sarfatti, 25, 20100 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4497194,9.188708076,2/17/2018,lombardia-milano-milano
"Via Lomellina, 49, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4677063,9.2301485,3/7/2019,lombardia-milano-milano
"Viale Sabotino, 38, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4514997,9.2027994,3/26/2019,lombardia-milano-milano
Largo la Foppa,RAPINA,Rapina in Strada,45.4783944,9.1846068,1/1/2020,lombardia-milano-milano
"Via Bartolomeo Cabella, 6, 20152 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4595976,9.0947039,3/24/2019,lombardia-milano-milano
Via Gian Battista Vico,FURTO,Furto in Abitazione,45.4604244,9.1707704,3/10/2019,lombardia-milano-milano
"Via Belfiore, 9, 20145 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4673761,9.1578878,1/3/2018,lombardia-milano-milano
"Via Angelo de Vincenti, 7, 20148 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4768383,9.141707323,3/15/2018,lombardia-milano-milano
Via Comacchio,RAPINA,Rapina in Strada,45.4377377,9.2192375,1/1/2020,lombardia-milano-milano
Piazza Sempione,RAPINA,,45.47563765,9.172557747,2/17/2018,lombardia-milano-milano
"Viale Fulvio Testi, 220, 20126 Milano MI",FURTO,,45.5182984,9.2078115,3/20/2018,lombardia-milano-milano
"Via Giuseppe Bruschetti, 11, 20125 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4925338,9.2075644,2/13/2018,lombardia-milano-milano
"Via Antonio Banfi, 2, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4555626,9.1834974,3/26/2019,lombardia-milano-milano
"Corso Europa, Piazza Cesare Beccaria, 5, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.464324,9.195609,3/1/2018,lombardia-milano-milano
"Via Filippo Argelati, 22, 20143 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4480377,9.168343,2/8/2019,lombardia-milano-milano
Piazza San Babila,FURTO,Furto in Abitazione,45.4664084,9.19721154,3/1/2020,lombardia-milano-milano
Via Ruggero Boscovich,FURTO,Furto Auto,45.4790879,9.2095061,2/25/2018,lombardia-milano-milano
"Via Ruggero di Lauria, 18, 20149 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4849323,9.1561743,3/7/2019,lombardia-milano-milano
"Via Luigi Federico Menabrea, 27, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4965041,9.1856899,2/8/2019,lombardia-milano-milano
Via Filippo Turati,FURTO,,45.47546401,9.194666011,1/3/2018,lombardia-milano-milano
"Piazza Armando Diaz, 6, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4620857,9.1895009,3/25/2019,lombardia-milano-milano
"Via Maurizio Quadrio, 20, 20154 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4840486,9.1829024,1/3/2018,lombardia-milano-milano
"Piazza Monte Falterona, 3, 20148 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4740119,9.1403384,1/16/2018,lombardia-milano-milano
"Via Costanza, 36, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.459798,9.1566546,3/27/2019,lombardia-milano-milano
Via Gioacchino Murat,RAPINA,Rapina in Esercizio Commerciale,45.5015708,9.1899423,3/5/2020,lombardia-milano-milano
"Bignami M5, 20162 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5257045,9.2113221,3/2/2018,lombardia-milano-milano
"Via Felicita Morandi, 17, 20127 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4959104,9.2232625,1/17/2018,lombardia-milano-milano
"Via degli Arcimboldi, 5, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4618144,9.1870151,2/9/2018,lombardia-milano-milano
Via Ettore Majorana,FURTO,Furto Auto,45.51335045,9.18610654,3/24/2020,lombardia-milano-milano
"Via Privata Gian Pietro Puricelli, 20147 Milano MI",FURTO,Furto Ciclo/Motociclo,45.464101,9.129469,3/24/2019,lombardia-milano-milano
"Via Casoretto, 41, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4888052,9.2260707,2/8/2019,lombardia-milano-milano
"Corso di Porta Ticinese, 70, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4549215,9.1804209,1/10/2018,lombardia-milano-milano
"Via Giovanni Antonio Amadeo, 55, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4709638,9.241437,2/10/2020,lombardia-milano-milano
"Via Giuseppe Broggi, 15, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4779561,9.2114811,3/10/2019,lombardia-milano-milano
"Via Privata Armenia, 1, 20149 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4908006,9.1488336,2/8/2019,lombardia-milano-milano
"Via Nicola Antonio Porpora, 122, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4860286,9.2220316,3/5/2019,lombardia-milano-milano
"Corso Vercelli, 34, 20145 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4666415,9.160012,2/8/2019,lombardia-milano-milano
Via Giuseppe Giacosa,FURTO,Furto Auto,45.49463972,9.22173584,1/25/2020,lombardia-milano-milano
"Piazza Irnerio, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.461085,9.152968,2/9/2018,lombardia-milano-milano
"Piazza Bruno Buozzi, 2, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4495963,9.2065129,2/5/2019,lombardia-milano-milano
"Foro Buonaparte, 74, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4692366,9.1829003,3/24/2019,lombardia-milano-milano
"Via Riccardo Bacchelli, 20151 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4975405,9.1117333,1/11/2018,lombardia-milano-milano
"Via Savona, 94, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4539855,9.1633616,1/24/2018,lombardia-milano-milano
"Piazza Cinque Giornate, 10, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4622709,9.2081164,2/8/2019,lombardia-milano-milano
"Piazza S. Babila, 4/B, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4664084,9.19721154,2/8/2019,lombardia-milano-milano
Via Filippo Brunelleschi,FURTO,Furto in Esercizio Commerciale,45.4466808,9.1455552,3/10/2019,lombardia-milano-milano
"Viale Tibaldi, 66, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4451986,9.1854438,2/25/2018,lombardia-milano-milano
"Via S. Sisto, 9, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4613676,9.1814724,1/25/2018,lombardia-milano-milano
Via Mario Morgantini,FURTO,Furto in Esercizio Commerciale,45.4682615,9.1315432,1/21/2020,lombardia-milano-milano
"Via Pietro Calvi, 29, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4670297,9.210384,3/22/2018,lombardia-milano-milano
"Via Orazio, 2, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4602313,9.177449,2/12/2019,lombardia-milano-milano
"Via Padova, 72, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4875498,9.2185766,3/7/2019,lombardia-milano-milano
"Via Raffaello Sanzio, 20149 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4697884,9.154498,1/12/2019,lombardia-milano-milano
"Corso Garibaldi, 71, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4750483,9.1834375,2/9/2018,lombardia-milano-milano
"Via Medeghino, 20141 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4326201,9.182514,3/26/2018,lombardia-milano-milano
"Via Achille Maiocchi, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4747679,9.2116757,3/5/2019,lombardia-milano-milano
Corso Vittorio Emanuele II,FURTO,Furto in Esercizio Commerciale,45.4650312,9.1941245,1/14/2020,lombardia-milano-milano
"Piazzale Lavater, 2, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.476129,9.2112556,1/25/2018,lombardia-milano-milano
Via Muggiano,FURTO,,45.449484,9.0758013,2/22/2019,lombardia-milano-milano
"Via dei Gracchi, 22, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4631232,9.1482886,3/27/2018,lombardia-milano-milano
"Via Goffredo Mameli, 24, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4666921,9.2133893,3/7/2019,lombardia-milano-milano
"Sant'Agostino, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4610553,9.1756667,1/27/2019,lombardia-milano-milano
"Via Augusto Anfossi, 26, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4594388,9.2129735,1/14/2020,lombardia-milano-milano
Viale Certosa,RAPINA,Rapina in Esercizio Commerciale,45.5022064,9.1243699,1/9/2020,lombardia-milano-milano
"Via Solferino, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4729621,9.1873978,1/10/2018,lombardia-milano-milano
"Via Lambro, 15, 20129 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4745459,9.2103966,2/25/2019,lombardia-milano-milano
"Via Privata Benadir, 2645, 20132 Milano MI",FURTO,Furto Ciclo/Motociclo,45.498729,9.237339,3/27/2019,lombardia-milano-milano
Via Guglielmo Pepe,RAPINA,Rapina in Esercizio Commerciale,45.48685537,9.185169469,1/16/2018,lombardia-milano-milano
Piazza Sempione,RAPINA,Rapina in Strada,45.47563765,9.172557747,3/5/2019,lombardia-milano-milano
"Piazza Filippo Meda, 3, 20121 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4670622,9.1927483,3/2/2018,lombardia-milano-milano
"Via Giorgio Washington, 106, 20146 Milano MI",FURTO,Furto Ciclo/Motociclo,45.454493,9.1543795,3/7/2019,lombardia-milano-milano
"Via E. Stendhal, 23, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.452636,9.159895,3/7/2019,lombardia-milano-milano
Via Teano,RAPINA,Rapina in Strada,45.52836192,9.160930654,2/4/2020,lombardia-milano-milano
"Via Corsico, 6, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4528514,9.1731601,1/27/2019,lombardia-milano-milano
"Via Giacomo Antonini, 66, 20141 Milano MI",FURTO,Furto Ciclo/Motociclo,45.437091,9.1971386,3/28/2018,lombardia-milano-milano
Piazzale Francesco Accursio,RAPINA,Rapina in Esercizio Commerciale,45.4927515,9.1459657,3/26/2018,lombardia-milano-milano
"Viale Tunisia, 33-35, 20124 Milano MI",FURTO,Furto Ciclo/Motociclo,45.47856505,9.202953427,1/29/2018,lombardia-milano-milano
"Piazzale Medaglie D'Oro, 2, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.45178065,9.201711347,1/19/2019,lombardia-milano-milano
"Via Federico Chopin, 81, 20141 Milano MI",RAPINA,Rapina in Strada,45.4303428,9.205014,3/15/2018,lombardia-milano-milano
"Via Luigi Mangiagalli, 3, 20133 Milano MI",RAPINA,Rapina in Esercizio Commerciale,45.4742589,9.2284168,3/25/2019,lombardia-milano-milano
"Via Salvatore Barzilai, 1, 20146 Milano MI",RAPINA,Rapina in Esercizio Commerciale,45.4520741,9.1413857,1/11/2019,lombardia-milano-milano
"Via Amatore Sciesa, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4598356,9.2092154,1/24/2018,lombardia-milano-milano
"Via Giancarlo Sismondi, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4655806,9.2275432,2/6/2018,lombardia-milano-milano
"Via Magolfa, 15, 20143 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4500423,9.1754638,2/28/2019,lombardia-milano-milano
"Via Privata Stefano Ussi, 18, 20126 Milano MI",FURTO,Furto Ciclo/Motociclo,45.507568,9.209715,2/9/2018,lombardia-milano-milano
"Via Giovanni Cena, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4606068,9.2200374,2/15/2019,lombardia-milano-milano
"Via Ottorino Respighi, 3, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4624066,9.2026655,3/16/2018,lombardia-milano-milano
"Via Casale, 3, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4522831,9.1702576,1/25/2019,lombardia-milano-milano
"Via Nicola Antonio Porpora, 45, 20131 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4860286,9.2220316,1/7/2019,lombardia-milano-milano
"Via degli Zuccaro, 5, 20146 Milano MI",RAPINA,Rapina in Esercizio Commerciale,45.4507807,9.1399079,1/16/2018,lombardia-milano-milano
"Viale Col di Lana, 8, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4520126,9.1833065,1/29/2018,lombardia-milano-milano
"Via Pietro Borsieri, 27, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4885109,9.1887604,3/26/2018,lombardia-milano-milano
"Via Giovanni Antonio Amadeo, 55, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4709638,9.241437,2/22/2019,lombardia-milano-milano
"Via Santa Valeria, 5, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4632648,9.1775376,1/8/2019,lombardia-milano-milano
"Viale Bligny, 36, 20136 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4508294,9.191582,2/26/2019,lombardia-milano-milano
"Piazza Sant'Ambrogio, 1, 20123 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4642852,9.1755421,1/14/2018,lombardia-milano-milano
"Via Pietro Borsieri, 28, 20159 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4888176,9.1892147,2/22/2019,lombardia-milano-milano
"Via Paolo Sarpi, 59, 20154 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4809807,9.1713439,2/6/2018,lombardia-milano-milano
"Via Alfonso Corti, 20133 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4809249,9.2341278,2/5/2019,lombardia-milano-milano
"Via Enrico Cialdini, 34, 20161 Milano MI",FURTO,Furto Ciclo/Motociclo,45.5157965,9.1691342,1/11/2018,lombardia-milano-milano
Via dell'Orso,FURTO,Furto in Abitazione,45.4690012,9.185811,2/10/2020,lombardia-milano-milano
"Viale Coni Zugna, 54, 20144 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4564107,9.1703616,1/24/2018,lombardia-milano-milano
Piazza Gae Aulenti,FURTO,Furto in Esercizio Commerciale,45.483456,9.190440364,1/14/2020,lombardia-milano-milano
"Via Modestino, 3, 20144 Milano MI",RAPINA,Rapina in Strada,45.4574819,9.1691324,1/20/2018,lombardia-milano-milano
"Via Valparaiso, 18, 20144 Milano MI",RAPINA,Rapina in Strada,45.4570727,9.1626583,1/19/2018,lombardia-milano-milano
"Via Gaetano Donizetti, 45, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4657668,9.2047873,1/25/2018,lombardia-milano-milano
"Corso Magenta, 64, 20123 Milano MI",FURTO,,45.4658049,9.172586,1/7/2019,lombardia-milano-milano
"Viale Premuda, 2, 20100 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4676344,9.2069203,1/7/2019,lombardia-milano-milano
"Via Bianca di Savoia, 9, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4550635,9.1921646,1/24/2018,lombardia-milano-milano
"Via Perugino, 24, 20135 Milano MI",FURTO,Furto Ciclo/Motociclo,45.458317,9.2135522,1/7/2019,lombardia-milano-milano
"Corso di Porta Vigentina, 15, 20122 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4519665,9.196542,1/26/2019,lombardia-milano-milano
Corso di Porta Ticinese,RAPINA,Rapina in Strada,45.4565663,9.1808058,2/11/2020,lombardia-milano-milano
"Via Predil, 12, 20134 Milano MI",FURTO,Furto Ciclo/Motociclo,45.4842733,9.2388112,2/12/2018,lombardia-milano-milano
